username,password,age,annual_income,spending_score
iux6grqg,UgybbVN7FW,69,45,8
x4262ek0,Zv1xEr8XcT,70,85,54
s05rbobs,Fe55eBkbSD,48,115,19
p99rwdhk,ABZXMnZTrm,46,82,7
lk26y94l,G7uwW9joha,67,13,51
y8h529l3,DNFv8egyWX,61,135,34
zqp4mwzh,lIbu10EOah,42,68,73
k2pqxybz,ZKLeoTMgjo,41,106,95
opm8ol3a,N3Ko6keGVh,36,14,34
v9tniqc2,aakXI8Vc2A,68,92,20
328cgvpt,dCmQcTMl32,51,1,90
c3u3wlnl,RQTFiZDA2E,28,6,26
h1bgjmxk,Nlo91JWHMq,69,79,16
q4cjxcnw,MJySpIG6Cy,50,56,46
5em2m4gk,dv9k95pZpE,66,4,50
nkjn18qv,UbMzVvEh1J,26,80,81
d6z2bgty,ym7Jge84ff,65,137,3
mtspdovx,RCAkdF1ziK,67,26,90
mi9547qx,ROZS1GDqT1,55,131,58
e25wsgn5,pvlsgHwHOl,28,3,35
978cfh4e,YiT1Cbbkzm,23,147,25
indsc453,SEYlC3wxI1,18,26,51
k9h2vrry,AwLKafEsFU,61,129,83
7dw855iy,5r00rOgcwl,65,49,19
uauwoe3e,N5DmggSQO6,53,42,59
vg31g27r,xNzwJuk6Ze,53,100,4
ieli713n,5yQJCDR8RV,36,99,24
zvmj00y9,lIq5syvABD,28,112,5
t03pl3tb,vU6HT0cspU,36,84,42
5x7y7czd,WAl0vQLUzo,28,136,100
9qd0igag,xMGByhQFjL,31,36,73
emjts4ct,qqlyFhFHvM,35,58,33
dan0ds7x,GzGtgDJBX6,62,66,44
u4fm9k3t,liXuLQzONQ,65,45,7
nzigourc,zhej73t0Wu,66,94,25
k11ona14,SiZesgocap,65,110,3
aiaarkkh,mQZRtb8mIo,49,72,2
o7oe1yka,4SUpbGGZxm,33,46,48
25tpniys,b47XnegMgn,31,91,53
zna622uk,MmYclqAdTB,49,75,32
yq6fl3oh,FehjTEjiAs,20,83,72
pq6a1b9b,kgK07HrPJe,70,7,63
nil5dkso,LjByLRtwj3,27,70,89
1jdwtooa,QCwuryyQFB,41,121,46
wzpvyo7k,yZBMrIRjnf,64,108,76
9noynyhv,O73v0pAmcr,69,132,100
qhgw0fgw,zQwTUbddDN,18,135,11
e6f2rzpq,nNYnMSEsWm,51,45,86
102j245r,EJnJjpa8G6,52,122,17
d5cptxid,CvfA4K34ak,46,52,76
owaqwyq4,3SCSqMbz6F,66,78,80
qcbq627c,Pwew47umTS,46,83,9
adtoz2iu,fYK9HvA7VG,43,86,18
psgxzmpa,46Qm85xRbr,52,81,78
rp4yyqec,cb56VsY7Qa,28,81,41
xxuuqyij,p4ZhIVWKCS,26,61,27
2aoqdu0l,kWI3X270kb,39,80,54
4ttacmhr,7Tbd0yVzPX,18,46,76
49yrx0rz,AEZ0LoSYqZ,42,67,93
zxd7zkkk,j6aZkfsu0R,35,55,73
v9bck8ja,gVT6YoxDmT,25,47,100
2ks4jax2,Wq80xNiEB5,48,49,1
ub298lvm,3wPhPnT77r,35,150,98
mpboph4d,zaYoMud8in,38,108,32
kmzg411c,K43sdrh6bY,43,91,37
a1dr9kv3,QQHclkGc34,24,87,66
1llohfht,dExQgF4r1c,52,2,59
2he5qujp,zJWjanT1i2,25,134,45
wdblsw0n,ZcBJj4DVAs,52,137,18
xu1py63l,azxfo3IBlv,70,111,3
q1y4al33,ANHMsdPYxt,45,73,92
6qqj14j0,m5dakCUWel,26,129,3
2najj7kq,aDn69kU7GN,48,36,33
p4a3xmj8,qwIDVrOEsr,20,6,12
od6mjx42,6QCrezmY4E,37,7,93
ww2my2gq,v20U7aHCCT,23,18,21
7ao6otlq,wguP18z8md,54,124,12
ebq2llof,sGm8UapGXD,67,17,7
14bi55fr,9G1Uoer98s,32,97,2
sxqcm78f,3gUYukyH2I,24,135,40
m05yj33k,stZ3zlnlC0,44,30,84
0odt90lw,Oo0cMKkQZI,58,82,83
s1744kjq,mrl1dA9Zgv,70,73,47
d4nj0092,hBXcT56l3A,65,19,6
o34vtt9a,Jr4Qg6pXn1,68,103,53
h0ar1h9b,1mt4580VCa,67,49,53
63vdhssi,Z0RcqkOuuw,55,37,24
h6okc9d7,cu4aSFsuWo,39,129,90
g36mg2po,s1UIb6xRfZ,61,58,56
46c47ip6,1YAxNwQ8Or,52,86,19
qqjwuhac,4ZOOshhvh6,49,52,53
oztixv2d,nbs7ao0ouy,25,16,31
l1g5dcot,EMphjrPrFo,28,36,32
j3vh21ct,MlhOwMc1cn,53,121,60
gqv8gp2q,aBAqjnhmHy,43,132,18
qeqn7niw,p8r8mdyyiB,69,93,7
dm7r20d6,8smwJbbxbT,31,116,8
hyg3qv3u,TS0rjHgU4l,57,87,5
r6xjuegz,NH8tosYEwX,48,48,57
xjp04dhr,a8lFcpZ6L1,26,56,98
gnqahuke,6VeMAvfisc,68,72,47
pw5f51wz,PCWkhZGbQF,59,56,73
gizwzcky,9x1hwPty57,58,143,51
6cglin2r,WKx0J5eOQf,28,56,65
01fymglh,Cy3zNIP8LJ,59,148,11
zhsj6std,KqY3jGfDr6,41,19,51
jt64eg1o,XMHOXwJjrR,28,92,81
6mmfvuh4,8aMR4PsBRF,31,76,19
69dos6k2,c5qBZZkKRP,52,120,27
up2zopby,N2CsPZNAD3,47,90,17
28a9tg48,bVk01HJ3w1,21,17,4
xw8d3rk9,3JcLGE2UgS,34,93,78
4auydcc8,uQerbwcPmN,34,134,31
9c7u6dew,sRPVwr6ncH,53,113,58
pj54rgx1,4DWNRuezvg,18,120,59
qaowvb18,DEwEjmC9nw,34,129,30
k8h4qhgj,CqzPlqZ2G8,66,70,63
nreloi3y,zkC4lPcgB0,30,10,66
q29z9u65,OKqHdm8rZG,64,108,49
qrjbts8c,0wowdjFpG7,22,120,17
mw8yruko,2DJwhdz6Yh,63,38,89
roo3cbda,bRRHPIzyuK,47,66,90
mncx2400,mABuVVpRyl,69,5,71
7dnugdmc,cf3UMscaEn,69,17,21
7strj3yg,FtZniYz88J,42,99,44
oacmw5si,zQ5vQEcMhZ,48,121,25
17wx82y4,jlng8yOMtU,51,11,45
xfgr6rwx,skGHvUjHPm,23,119,5
xq5bwtk0,cBUqoy47fC,32,45,97
n1bfsupd,Bp4E9iNaKW,49,10,40
rema8jlu,6WyGNqdbGZ,34,38,3
d3jpawpa,U19zuCx8fw,18,99,72
y7tjlcj4,zEDOPY8xfb,25,61,29
pdq5r9s7,XarBRzkM3f,47,99,54
3fgepga2,UGnWQfddjZ,55,36,81
jflchz86,IVw2dYNdAp,22,31,12
u8x809wh,BvHkgOddCq,51,26,11
kjxiddjz,8BAXDC51Iz,56,58,21
0a1coz1k,bVc6wuTFZG,36,95,21
v4upzroq,bm1nUKoejP,18,63,99
3gn4eb13,aH4vbnjMwb,19,11,46
zk73poiv,Gz37A2OJBo,41,86,94
il149r50,z5cMdc7puS,53,150,59
c5osvchp,CoLtjMwO5H,31,47,42
4fky9c4r,SBmUED25b3,18,114,68
grr9d2a5,VFm0AyXzxc,18,149,100
9pvk8cgn,QoYCQUcLZ5,68,116,62
fv7qpnpu,cLgf2lCTsc,64,107,35
3k0colel,ScSjV84zrs,64,122,37
gllc4oh6,SSSROmUvin,21,97,60
vx4mwrix,2qz79MlrcQ,41,5,49
pn991xwg,NanUJjeLw0,20,110,31
4gddelvf,ejaRsg8o57,22,46,37
b11mmuar,AL9QxW5r7R,22,110,45
n043z3nl,yLme0siLJZ,60,44,68
molll0o6,Su4XJqlqQl,21,101,59
pqi3s1i6,RjUzQKUHda,28,27,43
8m3ymu8n,0zWepI6890,62,90,90
mftgnfcu,HbIP5RdAZt,28,35,40
2ux97gp8,x4pPB6yBMd,21,68,71
88s7ej26,hH46ZyCeU2,63,34,31
atczxfex,GbtGTIC1jD,34,66,62
qrlcimc7,NU73txjNqA,60,101,6
kvodj8jk,anefqX1aoa,20,98,18
9k4en6mr,QinOR7aykt,60,106,36
moxk3386,rLWIf2590V,24,132,69
v7v9lw03,uwiPXe2DAS,51,37,14
n20kyfur,qrBCbifr4v,35,27,56
sfr27luw,COnLbpjWnR,42,88,99
u17marrh,eYx8mUk77E,55,29,42
jvrace2n,fpI37dLsQi,33,136,18
oorcutbd,KZfNT1xaRD,49,104,18
ajthpsma,kUDaTGTqCo,31,60,37
3mv8xlex,zVQh7C6FEE,51,149,43
xa4ui2sh,j9zXUO0jg4,44,34,59
q1aild9r,uovNGbWnOj,66,31,51
ns1z545f,Ru9nzlbCSp,58,37,49
rpngum95,bIHFRGJsWd,61,71,26
4nxc92vk,X4vgVtw161,21,93,85
knyr54oq,CistBacEGh,50,8,41
whg807he,SppQolt9sF,70,14,15
1mbvin8r,9p68Urc47J,67,40,82
bidjwmd6,i8DudgH9Th,52,62,9
o6r1xkue,PuAj43KTQn,39,6,9
7m7bcnbr,M9rvej3bwU,32,129,57
dr8y9n61,d4hMyf4HNQ,18,25,41
1q0fyl4e,fy3vbRMOs3,57,19,82
ow1oyoa1,4X1x5gLteD,27,115,86
7j90u4j7,8PwgJnZWd2,33,101,8
8ng193fx,UWO07MYFSh,23,104,67
9zxg0sh9,9GLMTB18tr,37,127,81
xtchz2me,GebYZTdLfP,42,8,64
k8miqlm5,V9TOZLKPzf,38,47,89
m39sbz1s,pCNcMdsbSM,47,10,6
ghnewkew,dn2P6BEY1Q,20,122,29
dawoewem,9FbcdAgG58,50,116,84
98zdy5ja,GOOSYTbv8V,39,51,26
gi7af2gn,K29s6wRI8B,42,68,31
o7kywpcs,4MuVn1Ruxm,34,26,46
jfitkpav,cNX4rBQsNT,58,81,14
1blbpn0j,1jXmZeWbBM,37,31,88
mdmflhbc,gX5doMKAHX,26,140,74
6yqlfw72,xpZNv89H2D,54,107,32
ef889hnz,zT5mYPvJbi,51,64,77
im2irjc9,5qDW1FJPXH,44,79,68
8179cl3q,pVJsoeboKr,32,141,24
s9fuzzmk,ODcPCFpTyk,37,138,36
6su2c42q,3M899RtHFn,46,109,95
4ngyfxn2,dx58fYep2r,21,21,8
k4q0rkob,u84dW3BIq2,47,144,80
sef8reua,eaVbvn11LJ,40,34,49
zub6s2yi,IcnEJ8pDF1,49,60,37
qyjftfcm,4L38yLoQXk,38,26,66
4kwn0pw9,N3GT9HXCJ2,22,15,73
jbepqpnz,SqxTx3jo5M,45,58,38
qarf1epg,IFISbOrbm9,64,18,66
o7l427pc,DhOj7wOjdp,51,78,75
z1hlfpn6,GShCA83f8U,24,130,91
y4uai8c1,M6OKIep12N,22,68,33
6ti6jmks,g6jnNqutRQ,59,30,61
kf6akr3o,xL5GcSjKCm,58,54,32
ifja83kf,RBw95JbJhA,51,136,87
w25rvz8q,oyZpXDLZzY,67,90,84
ei1k2pvs,AGXJCX4eEa,57,51,17
j4r2npq6,gLcA6yHa8B,43,146,18
2practm8,YNJbKM5BYR,56,19,85
sak37nvo,IoByT2snLE,45,78,64
zmwpcp6p,lVukU6LLyB,22,18,90
s3rdlq15,IpVd62I79a,21,24,25
ssg6iusg,QiyW7JkeKF,43,25,24
9mocg2jx,VL4Ohx4Qa1,68,140,61
eh10869x,9mOUfuTDTL,54,92,6
h4yq0x3k,wtmAEURJW1,20,107,87
bzvqhjj7,o58wnb2auP,26,23,77
kpciu8nu,MwsvpRfP0E,58,35,26
da2i5p40,K5Y5pQ2uIQ,34,35,16
4tift9bv,2HQoq31Ytu,51,103,20
kazsjfnz,YRlSbFF0cN,66,32,12
uclxabmp,EvnDyyBSb8,22,63,33
g7x48kl4,bNWQmgydmN,54,31,48
wnuosr3c,Vf8bu65184,50,78,39
iiko81lf,sxn4qLBnZ0,34,148,3
ok768ejt,5JaNo4BcnE,43,36,36
vnas0cp9,pogmr4cvvf,50,83,47
809ijs5l,IBHoWJqCe5,24,30,40
lc4zi6xh,cAvswHWZ51,33,85,46
ba7jnppa,6yxJRdFBwf,65,47,27
7u3y91pa,3NZJRbk7d3,47,16,31
gadpteik,S6Ajvv8uzo,57,17,78
1omvipdu,zQqvpTIWTH,52,104,1
okklti4b,4bCgMQqYml,19,54,41
6188agds,pEG81OVfqd,60,115,54
qxxwdfcf,lhknMefO5n,63,9,11
xcvjldob,9yCS9KeaQO,48,48,86
vfwg8lbj,OrlHcBc3KY,28,100,49
90elxbbt,vBuRYdBmsF,61,68,43
ni08g5rp,0IOQ2dhB1e,22,104,89
qm2x6tv4,3ZAaSP7iuT,28,89,36
f1q764vn,MwS7GVfziw,30,4,16
o4v8njsa,XGU2UYY37O,22,19,3
fgux015y,qGrDiOrs0d,31,67,95
1whh2nee,itazKhoppR,29,144,68
j8xl5js2,81t9xJB3Vy,40,125,20
xosrw074,CXeWA2MoDQ,24,143,9
fyxcnju8,UlSKn81ylO,66,6,59
27kb598u,55TOftvYvb,27,11,11
8zkefyl6,yHM6AU9cHE,30,35,52
x92xhb9l,RftQIe4olH,45,55,9
vfsk46qs,qIh5HKVsUw,43,134,92
puy4fuoh,TzMOiw2Rjx,53,101,78
g5qpm9ea,98bjoCLG4P,65,54,89
5n54nrr7,zkvSyyH8oN,23,40,54
iydozk0d,rkXCryBAAs,52,47,5
9vje5w9u,KgatH4cjSj,55,89,78
ocbjcm0m,SkKV85k00b,34,117,91
hacb8jt2,gpaNdQueJ3,50,85,11
5tjoj9a2,7ZPWjOrIUP,47,124,63
tan1d2ad,XFnV7wDqwP,43,67,90
o8wq96kt,mYiSqeY1Ss,38,29,49
zo7r6r1x,84tQu0ltWS,66,109,92
8oc8jtgr,2if74SoCQv,41,102,50
ktzo14ac,cg5iNdZ41R,48,4,21
88z0f6hy,OZufk7kF2G,57,120,15
r64sqw7r,ellneplj1C,66,87,74
uso2bp99,OS5IZN0OQl,66,116,76
3affsm6a,KYfoXfn1Kp,25,82,9
6rf20r6s,x36IWqntVm,62,122,32
95kyp7ka,IZW9f6P7P6,19,28,30
qbtt35uz,xaAwtZaK4n,45,44,46
6mkt406y,4ewPEpcbG4,53,139,16
efogz3kc,KlOfNGtFOf,31,26,51
uazlciek,Iv0gcq96SC,48,18,92
irc60md1,tYHqrAdl3b,25,48,69
hdjghz06,uNrCUAtxZ8,70,84,75
7fbge3mh,SvNzVThMxA,44,61,32
c8uqan7l,wkY7AzULau,54,134,66
0ahltswh,pDDGScnTYx,31,132,20
blht0v4r,l8ViQlIE3w,50,32,95
3aoqlwy4,739N8VNLMQ,32,139,59
npp5d8rh,rsWfXrMWWu,42,141,42
r4r12sfq,uxSwxz7Wcy,30,106,76
2xqa4muz,YcvZQpp185,27,99,60
m4uuwopz,VYGoKDz28j,24,116,98
073dzday,E0Sybq0Crg,68,7,47
ts5qipbf,U3Cik37M0R,70,40,19
ldhqc594,YkspNZLYO3,23,54,67
civ4loj5,Dhk4SM5I3a,64,66,65
iggt4u5b,MF1UFBEWoV,65,70,32
rww13ieu,fefUGHg3Na,54,9,48
pogxud10,Rw9wl28qZg,61,102,29
e4pjbnvs,ZAcZck2RVo,46,73,46
cyv063y3,eU74LT4Wnr,47,70,97
lge3q8u2,eezvDNRZdC,38,128,27
91j40ka4,AqvxdWMbxE,68,124,29
489gocmu,xezcF6luel,61,68,97
iexvuh5k,oIjXRY2WNd,46,88,87
vq34gxw8,TIODjA9apr,43,23,39
aqivnn53,9lO8rIdyiU,37,11,94
wwunmz0a,H4DiyycYDd,61,82,4
n69vdcup,NTXtUglCqa,62,12,83
dxzcu4xq,68M6wHRAYc,63,64,88
42vtcg5j,oh1p9wymsf,59,18,84
tkmk75b9,py8kBsRKCa,28,59,36
ijb5zqqw,HCB12NAtiG,27,38,81
h8zv8li5,T4ksEcNUVg,38,27,5
nhfmtflm,DCQXAA6qSf,30,144,36
aq6bg4ox,LT0nFNKhmT,60,52,98
jg8s931a,TuOAdW5WJq,24,56,15
kz6sdy5b,Hrbi66gkks,31,131,14
vr8v21i1,Tz49xUVmrr,65,103,55
sxe2drlz,2cdxRzvK6a,68,98,64
riwh5aie,aosFiGIePa,65,80,99
hcc7gb2z,ZBylCd8ZlT,19,116,8
clpd6cv0,MIUDQef1ls,28,51,8
fnla1q8m,M4suTgDXrW,38,88,6
9gfqa9i2,9wsTnAXMUS,54,27,33
do935lwa,w7M94AtO35,61,101,22
qoewh1lc,S2ZuZGHS8d,68,30,99
rizm2p2w,m0vDgg911v,45,60,15
6j0zwx7u,Oz3T3f9e72,70,48,38
he01nhki,sg2DoO4TAu,35,108,86
npdcluwd,sw1PU2sxES,65,85,78
o2tc1l9h,Os1FoN4SeM,27,102,40
5zcvhwvn,QgkPJu9i8M,36,10,53
h6fcx4do,lEDa1OCymn,51,64,70
x296fm2z,w4eRDuJKh1,70,47,78
yx4ycwm3,HzepOdj9fh,58,117,6
hurmfdrv,qCgAEm4ATS,49,85,97
oc2ehxtl,cXgmRkUzzb,40,6,50
2w6zjdaa,Y0K2iSsSUF,34,123,97
lf63140h,sbpHEG22P2,51,53,92
0uniy7kj,D3JzVWAEkX,36,102,78
jin1esr1,5Cdq924WFN,36,31,70
lattn8pv,1H8cl5zUuc,64,55,16
nffsr7mj,OKlaCXlSj9,32,135,90
elpfigid,Qj8DGNsj4F,47,7,79
6uiyrva3,fi3Xu9XriU,58,125,31
kdn83620,RF5GwzdsTn,42,10,30
ulq5c55b,wWQEavI5R7,43,49,92
oz0rufq1,k1XVrSWeze,40,59,62
e0itnfhk,1gNv2cSL2W,37,90,33
hkmciwwn,p61ftuf0iF,67,36,87
5xqv9kbv,rb8GZXxvQ5,49,128,70
4abi0uj1,4eqNsVJcVf,44,83,7
t3qbo6i4,OatWVeKLO4,70,118,39
8gu4ahnr,zqPJmmBJnp,50,67,36
6bxndxpr,9ca9XRYOC5,29,29,8
qicwly5h,f7KbAJ10ln,70,56,97
aciumg06,Yih6JVBris,53,6,55
77srtkwl,HPM0dkb8ZP,18,37,72
hko46wn4,PuRMejgjvb,65,150,4
c7l6h871,y5pk4FvfGo,48,66,52
d6w2zowo,EZbn1n8Byw,69,131,34
35h7qblz,3Ks8w9ZbKj,40,29,6
09fj6hlw,vzJuYMQUTH,39,25,17
sgbvlz0f,CF93pqHqVH,21,116,66
4jlnoyoj,bj9YbMB3UD,45,29,12
1b24sv6e,BxhkDAL4sO,53,64,55
j5d90axk,1glffWILK2,48,10,83
cfdgnpqc,IlYkt5HZvK,58,7,100
oxzgq4yy,2twUXEt7Hh,28,90,17
8ikqvqhp,Fu15LlgTzm,26,78,40
uylx09yb,0H9yF2NZB7,44,138,76
w118i2p1,u6T1WFixox,50,1,13
6on2zhwx,HlYdBYDu2N,43,110,62
656dkkwn,hQupXT4uOX,68,74,87
sq1s38v0,Z0eTywtR30,29,25,47
pinzbktc,BMshe2dZUu,22,27,37
fue6fpe6,BjQBhLFFy1,69,150,85
bwadby0c,4q51tUfVpd,44,57,66
8oqrkc3s,QzCk5rEeZT,36,102,11
2khfaems,AWEaBr64C5,28,53,69
vdqtbg2e,C01qIvwHak,58,36,70
kxjevhxg,puJKB6DARH,62,120,56
nr2qseo6,0u7l2xHzLr,46,32,81
9dg0rly4,WJjpH5GGPj,64,94,85
j3v0n38z,9G5kJNwopv,60,123,49
rgrqau1y,LL4oL9vwxk,59,12,2
3z87ieeu,LY8XjxEyHu,46,82,27
drrouubo,EMaPtdrAAl,19,104,15
7w7qwkdc,TlHX0vMqq3,66,32,78
614ty39n,spdqcht1K1,39,42,66
qqsddy65,KZaBxYkWE0,20,29,26
2m2i72u8,bIo5fWrerv,57,142,95
6z1miviu,g1so99Tr7O,33,99,35
bvphbxgv,o0SZDJ1crZ,37,102,89
rw5k32na,pyJlRp2Y9f,28,31,23
20bxh6ft,mkhfAJz1ye,67,4,20
az9wyk04,Hq2tkFJ2H2,51,76,11
twmxor3a,q2BXFef6Jf,45,147,67
ig56a7bi,gZXSooD9os,44,59,36
iuuigw84,xnQIGoHWT4,51,35,12
tqhhgp3r,yEYqPdSJ9a,25,5,1
zujjudb6,2JArU2bWoG,38,62,82
mlkeige8,y3Zg4ZOE9S,27,111,33
xu01vwu7,5Jwx9dRlyO,32,65,65
dwnecbz7,pq2Y7BlgIF,44,131,83
nqa0totr,emldgVch4Q,21,79,25
atinljlf,iJZeeFSf0f,21,82,58
ikauy2ls,MrOyI00xzO,22,27,12
hgq9rjqn,32HAK3qNKg,21,62,96
ctz93zsa,EBCPwPsHWF,51,61,20
ssqzn26x,1xvkDuRI3v,23,10,67
iqncrhbl,6EVq6gVURS,39,100,100
dm8g5adg,9xZSEJt64C,19,16,29
irtd211h,XmzwiyEIoG,34,31,16
7h2q1b1x,Cia5i3gSuN,59,52,61
